timestamp,latitude,longitude,zone,disaster,severity
2023-01-01 00:08:00,37.24315398395107,-122.3394651970294,Zone C,hurricane,Level 1: Mild Disaster
2023-01-01 00:32:00,37.62495538826192,-121.80420269197664,Zone B,flood,Level 1: Mild Disaster
2023-01-01 00:53:00,37.35362915916088,-121.5874310494082,Zone D,earthquake,Level 2: Moderate Disaster
2023-01-01 01:03:00,37.43750702980949,-121.82744129601224,Zone D,earthquake,Level 4: Critical Disaster
2023-01-01 01:13:00,37.08267928998392,-122.40795294523804,Zone C,earthquake,Level 1: Mild Disaster
2023-01-01 01:27:00,37.989358381617606,-122.45917074468616,Zone A,hurricane,Level 3: Severe Disaster
2023-01-01 01:35:00,37.80580733443665,-121.66322088845968,Zone B,flood,Level 3: Severe Disaster
2023-01-01 01:39:00,37.7536649252712,-122.23123243467153,Zone A,flood,Level 2: Moderate Disaster
2023-01-01 01:50:00,37.86360256935684,-122.33370432515228,Zone A,earthquake,Level 2: Moderate Disaster
2023-01-01 01:52:00,37.59817869356521,-121.6073508388598,Zone B,flood,Level 4: Critical Disaster
2023-01-01 01:58:00,37.02380169633525,-122.28420029070136,Zone C,hurricane,Level 4: Critical Disaster
2023-01-01 02:01:00,37.17330116567515,-122.0711664740778,Zone C,earthquake,Level 2: Moderate Disaster
2023-01-01 02:04:00,37.36887284694176,-121.72698088257332,Zone D,earthquake,Level 4: Critical Disaster
2023-01-01 02:06:00,37.75356445771837,-122.33869566243814,Zone A,earthquake,Level 1: Mild Disaster
2023-01-01 02:09:00,37.50807756352896,-121.98035423603606,Zone B,flood,Level 1: Mild Disaster
2023-01-01 02:10:00,37.73450650352632,-121.77828987016166,Zone B,flood,Level 3: Severe Disaster
2023-01-01 02:11:00,37.772339058325535,-121.7798209638219,Zone B,flood,Level 1: Mild Disaster
2023-01-01 02:17:00,37.79860107220585,-121.97755336536532,Zone B,hurricane,Level 3: Severe Disaster
2023-01-01 02:18:00,37.18465654162591,-122.17116385771102,Zone C,flood,Level 4: Critical Disaster
2023-01-01 02:38:00,37.73352279772401,-121.56052691862624,Zone B,hurricane,Level 3: Severe Disaster
2023-01-01 02:39:00,37.29749571813682,-121.54467605251008,Zone D,flood,Level 4: Critical Disaster
2023-01-01 02:57:00,37.55943077924309,-122.2551960948746,Zone A,earthquake,Level 2: Moderate Disaster
2023-01-01 02:59:00,37.97212269186259,-122.0029380241444,Zone A,hurricane,Level 1: Mild Disaster
2023-01-01 03:02:00,37.53664588276386,-122.14896054617732,Zone A,earthquake,Level 4: Critical Disaster
2023-01-01 03:03:00,37.21091481237537,-122.33782725084488,Zone C,flood,Level 2: Moderate Disaster
2023-01-01 03:09:00,37.22964821895914,-122.0411222796891,Zone C,flood,Level 1: Mild Disaster
2023-01-01 03:25:00,37.60567221673288,-122.05846254414551,Zone A,flood,Level 1: Mild Disaster
2023-01-01 03:28:00,37.0290804412753,-122.03863964366684,Zone C,hurricane,Level 1: Mild Disaster
2023-01-01 03:36:00,37.61406578590611,-122.34372547053084,Zone A,flood,Level 1: Mild Disaster
2023-01-01 03:38:00,37.56393089967656,-122.47055194091556,Zone A,earthquake,Level 1: Mild Disaster
