timestamp,latitude,longitude,zone,disaster,severity,name,infrastructure_type,infra_latitude,infra_longitude,distance_km,predicted_impact,recommended_action
2023-02-04 11:01:00,37.61968995727316,-121.6998464678876,Zone B,,Level 4: Critical Disaster,Location 843,shelter,37.646413608163286,-121.7046912215613,2.996715257882649,Medium,Monitor shelter for escalation; notify emergency services.
2023-02-04 04:46:00,37.57786452828429,-122.24224073269518,Zone A,flood,Level 4: Critical Disaster,Location 285,shelter,37.53794072639416,-122.23934459342212,4.438450834612473,Medium,Monitor shelter for escalation; notify emergency services.
2023-02-04 10:40:00,37.363454707323214,-121.8610799841159,Zone D,earthquake,Level 2: Moderate Disaster,Location 784,fire_station,37.37219423410245,-121.84711080573706,1.572252641700708,Medium,Monitor fire_station for escalation; notify emergency services.
2023-02-04 16:14:00,37.10670266710759,-121.56574948533289,Zone D,earthquake,Level 3: Severe Disaster,Location 376,hospital,37.1170297899429,-121.588153240956,2.297543598802206,Medium,Monitor hospital for escalation; notify emergency services.
2023-02-04 01:48:00,37.61742925148904,-121.78557208320966,Zone B,hurricane,Level 2: Moderate Disaster,Location 312,hospital,37.278862433381846,-122.18944554150602,51.85670739808973,Low,No immediate action required.
2023-02-04 01:53:00,37.24791633118376,-122.24309549878664,Zone C,hurricane,Level 1: Mild Disaster,Location 547,shelter,37.654962726691956,-121.77772633661722,61.126487125064635,Low,No immediate action required.
2023-02-04 00:01:00,37.86491027899463,-121.59314876782145,Zone B,,Level 0: No Disaster,Location 328,fire_station,37.16945891030823,-121.99051984742152,84.80434126736976,Low,No immediate action required.
2023-02-04 04:23:00,37.8237079729309,-121.79401292597422,Zone B,,Level 2: Moderate Disaster,Location 609,shelter,37.83599917200561,-121.78883252428105,1.4384502601931781,Medium,Monitor shelter for escalation; notify emergency services.
2023-02-04 01:48:00,37.61742925148904,-121.78557208320966,Zone B,hurricane,Level 2: Moderate Disaster,Location 52,shelter,37.08815742787352,-121.83397520012157,58.89717717496369,Low,No immediate action required.
2023-02-04 11:47:00,37.30353259828432,-122.4822734874086,Zone C,earthquake,Level 3: Severe Disaster,Location 409,fire_station,37.26232616410471,-122.46561202161593,4.80597800660181,Medium,Monitor fire_station for escalation; notify emergency services.
2023-02-04 00:10:00,37.60525759856685,-122.20246262639112,Zone A,earthquake,Level 4: Critical Disaster,Location 974,hospital,37.693469520643355,-122.12752789920505,11.814695290052876,Low,No immediate action required.
2023-02-04 05:48:00,37.22274017791924,-121.63544958993656,Zone D,earthquake,Level 2: Moderate Disaster,Location 463,fire_station,37.20945981412059,-121.64174374920985,1.5762042810330308,Medium,Monitor fire_station for escalation; notify emergency services.
2023-02-04 10:23:00,37.88583065847324,-122.3071676118155,Zone A,,Level 4: Critical Disaster,Location 64,shelter,37.89311205394242,-122.31894388055507,1.3138660205761288,Critical,Evacuate Zone A shelter immediately to alternate zone.
2023-02-04 15:19:00,37.92599819869438,-121.99027790797928,Zone B,,Level 4: Critical Disaster,Location 53,hospital,37.913226455651156,-121.98517189877907,1.4869950834208734,Critical,Reroute ambulances from hospital due to overload risk.
2023-02-04 14:21:00,37.10270379370165,-121.58306406936244,Zone D,hurricane,Level 4: Critical Disaster,Location 891,hospital,37.10729010228151,-121.56274072635357,1.8768584012344776,Critical,Reroute ambulances from hospital due to overload risk.
2023-02-04 01:48:00,37.61742925148904,-121.78557208320966,Zone B,hurricane,Level 2: Moderate Disaster,Location 613,shelter,37.04716245388837,-122.47911532231109,88.22340370414389,Low,No immediate action required.
2023-02-04 10:18:00,37.49641008179392,-121.9739171215104,Zone D,earthquake,Level 2: Moderate Disaster,Location 138,fire_station,37.45974015519054,-121.96554089269439,4.13675817154812,Medium,Monitor fire_station for escalation; notify emergency services.
2023-02-04 00:01:00,37.86491027899463,-121.59314876782145,Zone B,,Level 0: No Disaster,Location 199,hospital,37.24818621541099,-122.44523689722222,101.75252118305707,Low,No immediate action required.
2023-02-04 00:10:00,37.60525759856685,-122.20246262639112,Zone A,earthquake,Level 4: Critical Disaster,Location 569,hospital,37.805353191192324,-122.13996654852372,22.882357980796243,Low,No immediate action required.
2023-02-04 01:48:00,37.61742925148904,-121.78557208320966,Zone B,hurricane,Level 2: Moderate Disaster,Location 592,fire_station,37.11033258701752,-122.27008142269466,70.77826957716591,Low,No immediate action required.
2023-02-04 01:48:00,37.61742925148904,-121.78557208320966,Zone B,hurricane,Level 2: Moderate Disaster,Location 385,shelter,37.85425837466351,-121.57697976886358,32.07840166291941,Low,No immediate action required.
